"LEALAPNC.Code.or.Value","LEALAPNC.Value.Description","LEALAPNC.Count","LEALAPNC.Cumulative","LEALAPNC.Skip.to.Item"
"1","Yes",30,30,NA
"2","No",136,166,NA
"8","Could not obtain",0,166,NA
".","Missing",3018,3184,NA
