"WHQ280A.Code.or.Value","WHQ280A.Value.Description","WHQ280A.Count","WHQ280A.Cumulative","WHQ280A.Skip.to.Item"
"1","personal trainer",100,100,NA
"7","Refused",0,100,NA
"9","Don't know",1,101,NA
".","Missing",6074,6175,NA
