"DXXOFA.Code.or.Value","DXXOFA.Value.Description","DXXOFA.Count","DXXOFA.Cumulative","DXXOFA.Skip.to.Item"
"10.59 to 57.11","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
