"PFD069I.Code.or.Value","PFD069I.Value.Description","PFD069I.Count","PFD069I.Cumulative","PFD069I.Skip.to.Item"
"14 to 25933","Range of Values",242,242,NA
"66666","Since birth",3,245,NA
"77777","Refused",1,246,NA
"99999","Don't know",2,248,NA
".","Missing",9418,9666,NA
