"BIXC009K.Code.or.Value","BIXC009K.Value.Description","BIXC009K.Count","BIXC009K.Cumulative","BIXC009K.Skip.to.Item"
"16.4 to 201.7","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
