"CIQP13O.Code.or.Value","CIQP13O.Value.Description","CIQP13O.Count","CIQP13O.Cumulative","CIQP13O.Skip.to.Item"
"1","Yes",36,36,NA
"2","No",72,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
