"HCQ126A.Code.or.Value","HCQ126A.Value.Description","HCQ126A.Count","HCQ126A.Cumulative","HCQ126A.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",2,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",74,78,NA
