"LBDWCFLC.Code.or.Value","LBDWCFLC.Value.Description","LBDWCFLC.Count","LBDWCFLC.Cumulative","LBDWCFLC.Skip.to.Item"
"0","Detectable Result",526,526,NA
"1","Below Detectable Limit",103,629,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",1,630,NA
".","Missing",221,851,NA
