"LBXATG.Code.or.Value","LBXATG.Value.Description","LBXATG.Count","LBXATG.Cumulative","LBXATG.Skip.to.Item"
"0.6 to 2391.9","Range of Values",6250,6250,NA
".","Missing",667,6917,NA
