"WBXA069.Code.or.Value","WBXA069.Value.Description","WBXA069.Count","WBXA069.Cumulative","WBXA069.Skip.to.Item"
"-1.2112 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
