"DXXRRA.Code.or.Value","DXXRRA.Value.Description","DXXRRA.Count","DXXRRA.Cumulative","DXXRRA.Skip.to.Item"
"52.42 to 259.82","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
