"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",251,251,""
"2","No",5038,5289,"DRD370G"
".","Missing",4049,9338,""
