"ALQ160.Code.or.Value","ALQ160.Value.Description","ALQ160.Count","ALQ160.Cumulative","ALQ160.Skip.to.Item"
"0 to 30","Range of Values",1865,1865,NA
"777","Refused",0,1865,NA
"999","Don't know",1,1866,NA
".","Missing",4058,5924,NA
