"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",61,61,NA
"2","Other Hispanic",33,94,NA
"3","Non-Hispanic White",131,225,NA
"4","Non-Hispanic Black",56,281,NA
"5","Other Race, Including Multiracial",20,301,NA
".","Missing",0,301,NA
