"MCQ170m.Code.or.Value","MCQ170m.Value.Description","MCQ170m.Count","MCQ170m.Cumulative","MCQ170m.Skip.to.Item"
"1","Yes",362,362,NA
"2","No",138,500,NA
"7","Refused",0,500,NA
"9","Don't know",11,511,NA
".","Missing",8853,9364,NA
