"URDPMALC.Code.or.Value","URDPMALC.Value.Description","URDPMALC.Count","URDPMALC.Cumulative","URDPMALC.Skip.to.Item"
"0","At or above the detection limit",1061,1061,NA
"1","Below lower detection limit",1179,2240,NA
".","Missing",109,2349,NA
