"MCQ160A.Code.or.Value","MCQ160A.Value.Description","MCQ160A.Count","MCQ160A.Cumulative","MCQ160A.Skip.to.Item"
"1","Yes",1331,1331,"MCQ180A"
"2","No",4074,5405,""
"7","Refused",0,5405,""
"9","Don't know",6,5411,""
".","Missing",5059,10470,""
