"OHD25LAM.Code.or.Value","OHD25LAM.Value.Description","OHD25LAM.Count","OHD25LAM.Cumulative","OHD25LAM.Skip.to.Item"
"0 to 9","Range of Values",2609,2609,NA
"99","Calculation cannot be determined",201,2810,NA
".","Missing",4320,7130,NA
