"DUQ352.Code.or.Value","DUQ352.Value.Description","DUQ352.Count","DUQ352.Cumulative","DUQ352.Skip.to.Item"
"1","Once",18,18,NA
"2","2-5 times",54,72,NA
"3","6-19 times",41,113,NA
"4","20-49 times",31,144,NA
"5","50-99 times",21,165,NA
"6","100 times or more",59,224,NA
"77","Refused",0,224,NA
"99","Don't know",0,224,NA
".","Missing",4572,4796,NA
