"LBXOD1.Code.or.Value","LBXOD1.Value.Description","LBXOD1.Count","LBXOD1.Cumulative","LBXOD1.Skip.to.Item"
"4.45 to 313","Range of Values",2782,2782,NA
".","Missing",1546,4328,NA
