"LBDCBCSI.Code.or.Value","LBDCBCSI.Value.Description","LBDCBCSI.Count","LBDCBCSI.Cumulative","LBDCBCSI.Skip.to.Item"
"0.009 to 0.412","Range of Values",6616,6616,NA
".","Missing",1470,8086,NA
