"LBXVIA.Code.or.Value","LBXVIA.Value.Description","LBXVIA.Count","LBXVIA.Cumulative","LBXVIA.Skip.to.Item"
"6.7 to 223.2","Range of Values",7454,7454,NA
".","Missing",1378,8832,NA
