"OSQ150.Code.or.Value","OSQ150.Value.Description","OSQ150.Count","OSQ150.Cumulative","OSQ150.Skip.to.Item"
"1","Yes",458,458,""
"2","No",3138,3596,"OSQ170"
"7","Refused",3,3599,"OSQ170"
"9","Don't know",216,3815,"OSQ170"
".","Missing",0,3815,""
