"TYXA112.Code.or.Value","TYXA112.Value.Description","TYXA112.Count","TYXA112.Cumulative","TYXA112.Skip.to.Item"
"0.09 to 6.48","Range of Values",5486,5486,NA
".","Missing",99,5585,NA
