"TYXP157.Code.or.Value","TYXP157.Value.Description","TYXP157.Count","TYXP157.Cumulative","TYXP157.Skip.to.Item"
"-293 to 12","Range of Values",5036,5036,NA
".","Missing",3433,8469,NA
