"INQ080.Code.or.Value","INQ080.Value.Description","INQ080.Count","INQ080.Cumulative","INQ080.Skip.to.Item"
"1","Yes",850,850,NA
"2","No",8828,9678,NA
"7","Refused",29,9707,NA
"9","Don't know",0,9707,NA
".","Missing",49,9756,NA
