"LBXVME.Code.or.Value","LBXVME.Value.Description","LBXVME.Count","LBXVME.Cumulative","LBXVME.Skip.to.Item"
"0.9899 to 3800","Range of Values",3080,3080,NA
".","Missing",465,3545,NA
