"HSQ590.Code.or.Value","HSQ590.Value.Description","HSQ590.Count","HSQ590.Cumulative","HSQ590.Skip.to.Item"
"1","Yes",1798,1798,NA
"2","No",4021,5819,NA
"7","Refused",0,5819,NA
"9","Don't know",51,5870,NA
".","Missing",4512,10382,NA
