"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",2,2,""
"2","No",2025,2027,"DRD370K"
".","Missing",8450,10477,""
