"CIQP54.Code.or.Value","CIQP54.Value.Description","CIQP54.Count","CIQP54.Cumulative","CIQP54.Skip.to.Item"
"1 to 40","Range of Values",8,8,NA
"900","900 +",0,8,NA
"7777","Refused",0,8,NA
"9999","Don't know",0,8,NA
".","Missing",770,778,NA
