"LBXSF2SI.Code.or.Value","LBXSF2SI.Value.Description","LBXSF2SI.Count","LBXSF2SI.Cumulative","LBXSF2SI.Skip.to.Item"
"0.212 to 397","Range of Values",2707,2707,NA
".","Missing",415,3122,NA
