"URXMOP.Code.or.Value","URXMOP.Value.Description","URXMOP.Count","URXMOP.Cumulative","URXMOP.Skip.to.Item"
"0.59 to 8.69","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
