"MCQ240u.Code.or.Value","MCQ240u.Value.Description","MCQ240u.Count","MCQ240u.Cumulative","MCQ240u.Skip.to.Item"
"49 to 79","Range of Values",67,67,NA
"80","80 years or older",1,68,NA
"77777","Refused",0,68,NA
"99999","Don't know",0,68,NA
".","Missing",9702,9770,NA
