"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"0.6 to 39.8","Range of Values",8378,8378,NA
".","Missing",1062,9440,NA
