"BAXFTC21.Code.or.Value","BAXFTC21.Value.Description","BAXFTC21.Count","BAXFTC21.Cumulative","BAXFTC21.Skip.to.Item"
"1 to 14","Range of Values",193,193,NA
".","Missing",2893,3086,NA
