"DSDDP1LC.Code.or.Value","DSDDP1LC.Value.Description","DSDDP1LC.Count","DSDDP1LC.Cumulative","DSDDP1LC.Skip.to.Item"
"0","At or above the detection limit",3724,3724,NA
"1","Below lower detection limit",3233,6957,NA
".","Missing",2483,9440,NA
