"MCQ160F.Code.or.Value","MCQ160F.Value.Description","MCQ160F.Count","MCQ160F.Cumulative","MCQ160F.Skip.to.Item"
"1","Yes",258,258,""
"2","No",5659,5917,"MCQ160G"
"7","Refused",0,5917,"MCQ160G"
"9","Don't know",18,5935,"MCQ160G"
".","Missing",3731,9666,""
