"DXXPT43X.Code.or.Value","DXXPT43X.Value.Description","DXXPT43X.Count","DXXPT43X.Cumulative","DXXPT43X.Skip.to.Item"
"731.1 to 1267","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
