"LB2MC.Code.or.Value","LB2MC.Value.Description","LB2MC.Count","LB2MC.Cumulative","LB2MC.Skip.to.Item"
"30.1 to 35.7","Range of Values",551,551,NA
".","Missing",6,557,NA
