"URXMNM.Code.or.Value","URXMNM.Value.Description","URXMNM.Count","URXMNM.Cumulative","URXMNM.Skip.to.Item"
"0.78 to 10530","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
