"VIXPLA.Code.or.Value","VIXPLA.Value.Description","VIXPLA.Count","VIXPLA.Cumulative","VIXPLA.Skip.to.Item"
"0 to 180","Range of Values",1920,1920,NA
"888","Could not obtain",45,1965,NA
".","Missing",4793,6758,NA
