"LEXLPTSM.Code.or.Value","LEXLPTSM.Value.Description","LEXLPTSM.Count","LEXLPTSM.Cumulative","LEXLPTSM.Skip.to.Item"
"52.5 to 239","Range of Values",2612,2612,NA
".","Missing",572,3184,NA
