"URDMX1LC.Code.or.Value","URDMX1LC.Value.Description","URDMX1LC.Count","URDMX1LC.Cumulative","URDMX1LC.Skip.to.Item"
"0","At or above the detection limit",2714,2714,NA
"1","Below lower detection limit",0,2714,NA
".","Missing",117,2831,NA
