"URDMOHLC.Code.or.Value","URDMOHLC.Value.Description","URDMOHLC.Count","URDMOHLC.Cumulative","URDMOHLC.Skip.to.Item"
"0","At or above the detection limit",2480,2480,NA
"1","Below lower detection limit",9,2489,NA
".","Missing",105,2594,NA
