"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",6894,6894,NA
"2","Spanish",1074,7968,NA
"3","English and Spanish",64,8032,NA
"4","Other",0,8032,NA
".","Missing",1730,9762,NA
