"RFXC121.Code.or.Value","RFXC121.Value.Description","RFXC121.Count","RFXC121.Cumulative","RFXC121.Skip.to.Item"
"-3.913 to 6.064","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
