"URDPARLC.Code.or.Value","URDPARLC.Value.Description","URDPARLC.Count","URDPARLC.Cumulative","URDPARLC.Skip.to.Item"
"0","At or above the detection limit",2373,2373,NA
"1","Below lower detection limit",191,2564,NA
".","Missing",130,2694,NA
