"DS1IVB1.Code.or.Value","DS1IVB1.Value.Description","DS1IVB1.Count","DS1IVB1.Cumulative","DS1IVB1.Skip.to.Item"
"0.052 to 1500","Range of Values",1708,1708,NA
".","Missing",4198,5906,NA
