"LBXBEC.Code.or.Value","LBXBEC.Value.Description","LBXBEC.Count","LBXBEC.Cumulative","LBXBEC.Skip.to.Item"
"0.6 to 335","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
