"KIQ480.Code.or.Value","KIQ480.Value.Description","KIQ480.Count","KIQ480.Cumulative","KIQ480.Skip.to.Item"
"0","0",1288,1288,NA
"1","1",1869,3157,NA
"2","2",941,4098,NA
"3","3",480,4578,NA
"4","4",155,4733,NA
"5","5 or more",133,4866,NA
"7","Refused",1,4867,NA
"9","Don't know",9,4876,NA
".","Missing",693,5569,NA
