"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 12.038","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
