"INDFMMPC.Code.or.Value","INDFMMPC.Value.Description","INDFMMPC.Count","INDFMMPC.Cumulative","INDFMMPC.Skip.to.Item"
"1","Monthly poverty level index <= 1.30",3729,3729,NA
"2","1.30 < Monthly poverty level index <= 1.85",1405,5134,NA
"3","Monthly poverty level index > 1.85",4043,9177,NA
"7","Refused",63,9240,NA
"9","Don't know",179,9419,NA
".","Missing",552,9971,NA
