"DID040G.Code.or.Value","DID040G.Value.Description","DID040G.Count","DID040G.Cumulative","DID040G.Skip.to.Item"
"1","Enter number",548,548,NA
"2","Less than 1 year",8,556,NA
"7","Refused",0,556,NA
"9","Don't know",3,559,NA
".","Missing",9086,9645,NA
