"RXDCOUNT.Code.or.Value","RXDCOUNT.Value.Description","RXDCOUNT.Count","RXDCOUNT.Cumulative","RXDCOUNT.Skip.to.Item"
"1 to 20","Range of Values",11431,11431,NA
".","Missing",6574,18005,NA
