"LBCGHC.Code.or.Value","LBCGHC.Value.Description","LBCGHC.Count","LBCGHC.Cumulative","LBCGHC.Skip.to.Item"
"3.465 to 9.192","Range of Values",301,301,NA
".","Missing",0,301,NA
