"DID060G.Code.or.Value","DID060G.Value.Description","DID060G.Count","DID060G.Cumulative","DID060G.Skip.to.Item"
"1","Enter number (of months or years)",143,143,NA
"2","Less than 1 month",2,145,NA
"7","Refused",1,146,NA
"9","Don't know",2,148,NA
".","Missing",10322,10470,NA
