"AUXR1K1R.Code.or.Value","AUXR1K1R.Value.Description","AUXR1K1R.Count","AUXR1K1R.Cumulative","AUXR1K1R.Skip.to.Item"
"10 to 100","Range of Values",19,19,NA
"666","No response",0,19,NA
"888","Could not obtain",1,20,NA
".","Missing",3111,3131,NA
