"SSDPCP.Code.or.Value","SSDPCP.Value.Description","SSDPCP.Count","SSDPCP.Cumulative","SSDPCP.Skip.to.Item"
"0.04 to 1.62","Range of Values",2316,2316,NA
".","Missing",1,2317,NA
