"LBXTC.Code.or.Value","LBXTC.Value.Description","LBXTC.Count","LBXTC.Cumulative","LBXTC.Skip.to.Item"
"78 to 615","Range of Values",7360,7360,NA
".","Missing",726,8086,NA
