"LBDD03LC.Code.or.Value","LBDD03LC.Value.Description","LBDD03LC.Count","LBDD03LC.Cumulative","LBDD03LC.Skip.to.Item"
"0","detectable result",754,754,NA
"1","below detectable limit",1131,1885,NA
".","Missing",389,2274,NA
