"PFQ061Q.Code.or.Value","PFQ061Q.Value.Description","PFQ061Q.Count","PFQ061Q.Cumulative","PFQ061Q.Skip.to.Item"
"1","No difficulty",2115,2115,NA
"2","Some difficulty",387,2502,NA
"3","Much difficulty",148,2650,NA
"4","Unable to do",85,2735,NA
"5","Do not do this activity",136,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
