"SMD090.Code.or.Value","SMD090.Value.Description","SMD090.Count","SMD090.Cumulative","SMD090.Skip.to.Item"
"1 to 95","Range of Values",998,998,NA
"777","Refused",0,998,NA
"999","Don't know",1,999,NA
".","Missing",3881,4880,NA
