"AUXRR102.Code.or.Value","AUXRR102.Value.Description","AUXRR102.Count","AUXRR102.Cumulative","AUXRR102.Skip.to.Item"
"-59 to 46","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
