"LBDFOTSI.Code.or.Value","LBDFOTSI.Value.Description","LBDFOTSI.Count","LBDFOTSI.Cumulative","LBDFOTSI.Skip.to.Item"
"4.12 to 1260","Range of Values",8452,8452,NA
".","Missing",970,9422,NA
